ID,PRECIO,CAPACIDAD,DTYPE
100000,5181,1,HOTELROOM
100001,8408,6,HOTELROOM
100002,5549,5,HOTELROOM
100003,2614,1,HOTELROOM
100004,5174,3,HOTELROOM
100005,6900,1,HOTELROOM
100006,7037,6,HOTELROOM
100007,9988,1,HOTELROOM
100008,706,7,HOTELROOM
100009,1526,2,HOTELROOM
100010,1940,4,HOTELROOM
100011,4155,1,HOTELROOM
100012,706,6,HOTELROOM
100013,2788,7,HOTELROOM
100014,4328,10,HOTELROOM
100015,236,3,HOTELROOM
100016,1658,4,HOTELROOM
100017,5484,3,HOTELROOM
100018,7355,5,HOTELROOM
100019,599,8,HOTELROOM
100020,8947,8,HOTELROOM
100021,4445,10,HOTELROOM
100022,5829,1,HOTELROOM
100023,5293,3,HOTELROOM
100024,9071,6,HOTELROOM
100025,9977,10,HOTELROOM
100026,1801,6,HOTELROOM
100027,5682,6,HOTELROOM
100028,7268,10,HOTELROOM
100029,2891,6,HOTELROOM
100030,4347,8,HOTELROOM
100031,4396,5,HOTELROOM
100032,7762,6,HOTELROOM
100033,9828,1,HOTELROOM
100034,8690,1,HOTELROOM
100035,7905,10,HOTELROOM
100036,3677,2,HOTELROOM
100037,8633,7,HOTELROOM
100038,6270,9,HOTELROOM
100039,3358,3,HOTELROOM
100040,2285,9,HOTELROOM
100041,1505,6,HOTELROOM
100042,2681,7,HOTELROOM
100043,7008,2,HOTELROOM
100044,371,2,HOTELROOM
100045,6466,9,HOTELROOM
100046,8786,8,HOTELROOM
100047,7873,3,HOTELROOM
100048,2814,7,HOTELROOM
100049,919,6,HOTELROOM
100050,7395,7,HOTELROOM
100051,1009,4,HOTELROOM
100052,6228,2,HOTELROOM
100053,2923,8,HOTELROOM
100054,8269,10,HOTELROOM
100055,7822,7,HOTELROOM
100056,4510,10,HOTELROOM
100057,1630,9,HOTELROOM
100058,8038,5,HOTELROOM
100059,7662,4,HOTELROOM
100060,3609,2,HOTELROOM
100061,8522,10,HOTELROOM
100062,3147,7,HOTELROOM
100063,820,7,HOTELROOM
100064,3790,6,HOTELROOM
100065,8816,4,HOTELROOM
100066,2033,5,HOTELROOM
100067,856,5,HOTELROOM
100068,9578,9,HOTELROOM
100069,3571,2,HOTELROOM
100070,9832,7,HOTELROOM
100071,7696,9,HOTELROOM
100072,4866,8,HOTELROOM
100073,256,1,HOTELROOM
100074,2614,8,HOTELROOM
100075,280,8,HOTELROOM
100076,8590,6,HOTELROOM
100077,7222,5,HOTELROOM
100078,4386,10,HOTELROOM
100079,9069,9,HOTELROOM
100080,2833,6,HOTELROOM
100081,2573,7,HOTELROOM
100082,5414,7,HOTELROOM
100083,9242,6,HOTELROOM
100084,7496,4,HOTELROOM
100085,8454,6,HOTELROOM
100086,4427,8,HOTELROOM
100087,1056,3,HOTELROOM
100088,2230,7,HOTELROOM
100089,157,6,HOTELROOM
100090,453,6,HOTELROOM
100091,7532,9,HOTELROOM
100092,8807,6,HOTELROOM
100093,6786,2,HOTELROOM
100094,8891,1,HOTELROOM
100095,4305,2,HOTELROOM
100096,7652,8,HOTELROOM
100097,519,5,HOTELROOM
100098,9319,4,HOTELROOM
100099,7127,5,HOTELROOM
100100,2797,2,HOTELROOM
100101,9195,9,HOTELROOM
100102,3289,5,HOTELROOM
100103,601,4,HOTELROOM
100104,2254,7,HOTELROOM
100105,7831,3,HOTELROOM
100106,6614,5,HOTELROOM
100107,4950,7,HOTELROOM
100108,1450,10,HOTELROOM
100109,4487,3,HOTELROOM
100110,6901,10,HOTELROOM
100111,1494,2,HOTELROOM
100112,4785,8,HOTELROOM
100113,5462,9,HOTELROOM
100114,373,2,HOTELROOM
100115,8477,5,HOTELROOM
100116,4078,8,HOTELROOM
100117,8957,9,HOTELROOM
100118,6716,2,HOTELROOM
100119,7103,7,HOTELROOM
100120,9734,4,HOTELROOM
100121,613,7,HOTELROOM
100122,7855,10,HOTELROOM
100123,5219,2,HOTELROOM
100124,9297,5,HOTELROOM
100125,5540,5,HOTELROOM
100126,7855,8,HOTELROOM
100127,6278,7,HOTELROOM
100128,7665,6,HOTELROOM
100129,992,7,HOTELROOM
100130,9132,7,HOTELROOM
100131,5461,2,HOTELROOM
100132,6979,1,HOTELROOM
100133,2248,10,HOTELROOM
100134,784,4,HOTELROOM
100135,653,1,HOTELROOM
100136,9601,9,HOTELROOM
100137,4072,6,HOTELROOM
100138,2222,1,HOTELROOM
100139,615,6,HOTELROOM
100140,8519,1,HOTELROOM
100141,3580,2,HOTELROOM
100142,1268,2,HOTELROOM
100143,8443,4,HOTELROOM
100144,1071,7,HOTELROOM
100145,3528,2,HOTELROOM
100146,5787,1,HOTELROOM
100147,518,5,HOTELROOM
100148,8426,8,HOTELROOM
100149,3287,4,HOTELROOM
100150,8489,6,HOTELROOM
100151,684,7,HOTELROOM
100152,864,6,HOTELROOM
100153,1576,9,HOTELROOM
100154,2069,2,HOTELROOM
100155,7337,4,HOTELROOM
100156,6025,6,HOTELROOM
100157,1363,9,HOTELROOM
100158,1089,9,HOTELROOM
100159,8617,6,HOTELROOM
100160,4116,5,HOTELROOM
100161,6754,4,HOTELROOM
100162,7849,4,HOTELROOM
100163,1299,4,HOTELROOM
100164,1373,8,HOTELROOM
100165,3873,6,HOTELROOM
100166,8946,7,HOTELROOM
100167,3807,4,HOTELROOM
100168,7129,10,HOTELROOM
100169,3981,8,HOTELROOM
100170,1480,2,HOTELROOM
100171,4412,2,HOTELROOM
100172,6224,1,HOTELROOM
100173,7010,9,HOTELROOM
100174,4587,8,HOTELROOM
100175,6372,6,HOTELROOM
100176,3788,2,HOTELROOM
100177,5479,2,HOTELROOM
100178,4231,9,HOTELROOM
100179,4385,10,HOTELROOM
100180,640,3,HOTELROOM
100181,3538,3,HOTELROOM
100182,3403,10,HOTELROOM
100183,1367,7,HOTELROOM
100184,716,3,HOTELROOM
100185,3446,4,HOTELROOM
100186,4128,4,HOTELROOM
100187,1030,4,HOTELROOM
100188,4748,2,HOTELROOM
100189,8647,3,HOTELROOM
100190,215,2,HOTELROOM
100191,7793,6,HOTELROOM
100192,9756,8,HOTELROOM
100193,8560,1,HOTELROOM
100194,8116,2,HOTELROOM
100195,8500,3,HOTELROOM
100196,2499,9,HOTELROOM
100197,6905,5,HOTELROOM
100198,8026,10,HOTELROOM
100199,4163,2,HOTELROOM
100200,8897,5,HOTELROOM
100201,3054,2,HOTELROOM
100202,3874,3,HOTELROOM
100203,9088,9,HOTELROOM
100204,8792,1,HOTELROOM
100205,8321,1,HOTELROOM
100206,9069,2,HOTELROOM
100207,3492,6,HOTELROOM
100208,6649,8,HOTELROOM
100209,1994,10,HOTELROOM
100210,3882,9,HOTELROOM
100211,1516,5,HOTELROOM
100212,6009,8,HOTELROOM
100213,4808,3,HOTELROOM
100214,332,3,HOTELROOM
100215,1502,4,HOTELROOM
100216,3300,5,HOTELROOM
100217,154,4,HOTELROOM
100218,8067,10,HOTELROOM
